Size push pop size mySize pushDouble mySize(Array)
1 0 0 0 0 0 0
2 0 0 0 0 0 0
4 0 0 0 0 0 0
8 0 0 0 0 0 0
16 0 0 0 0 0 0
32 0 0 0 0 0 0
64 0 0 0 0 0 0
128 0 0 0 0 0 0
256 0 0 0 0 0 0
512 0 0 0 0 0 0
1024 0 0 0 0 0 0
2048 0 0 0 0 0 0
4096 0 0 0 0 0 0
8192 0 0 0 0 0 0
16384 0 0 0 0 0 0
32768 0 0 0 0.01 0 0.01
65536 0 0 0 0.01 0 0.01
131072 0.01 0 0 0.02 0.01 0.02
262144 0.01 0.01 0 0.03 0.01 0.04
524288 0.03 0.02 0 0.07 0.02 0.07
1048576 0.06 0.03 0 0.14 0.04 0.15
2097152 0.12 0.07 0 0.28 0.08 0.3
4194304 0.23 0.13 0 0.56 0.17 0.61
8388608 0.45 0.25 0 1.13 0.32 1.25
16777216 0.9 0.51 0 2.28 0.63 2.46
